S347,S1211,S0,S359,S15,S1508,S155,S985,S2260,S257,S825,S822,S159,Et2O,S278,S1000,S2050,S102,S871
1.5409316493713007e-05,6.228074325987293,0.02358759295215434,6.06614402722755e-27,5.584173467912315,2.6116707565212254,1.701093859376448e-11,8.72064403408278e-06,2.2231625831928152e-05,0.17859545288591042,0.005892530617760262,0.0407925357877257,5.141309738743769e-11,3.5929180283704705,0.18177605153806484,3.777952558361401e-09,0.11937878237835554,0.02597510159737038,4.949409663502816e-05
1.540931640527851e-05,6.228074137500218,0.023587593956673217,6.0661437016964335e-27,5.584173443997262,2.6116708026260196,1.701093818803849e-11,8.72064414325351e-06,2.2231625569105578e-05,0.17859546398932977,0.005892530484515477,0.04079253575430837,5.1413093698379274e-11,3.5929180931297307,0.18177605412147674,3.777952424676782e-09,0.11937878669019805,0.025975102243047034,4.949409424698962e-05
1.540931656848357e-05,6.228074127069133,0.023587594049951838,6.06614374650855e-27,5.584173451426238,2.6116708069173513,1.7010937989371524e-11,8.720644429157648e-06,2.2231626025023996e-05,0.17859546876566543,0.00589253036134562,0.04079253491063659,5.141309293575003e-11,3.592918172828754,0.18177605838804112,3.777952536284107e-09,0.11937878952789169,0.025975101779286885,4.949409306975347e-05
1.540931672932328e-05,6.228074114964367,0.02358759415179589,6.066143787839533e-27,5.584173458560588,2.61167081160172,1.7010937788758253e-11,8.72064471340054e-06,2.2231626474186425e-05,0.17859547360147413,0.005892530238081061,0.040792534074581006,5.141309214561309e-11,3.592918252387348,0.18177606263878432,3.777952645585749e-09,0.11937879237944196,0.025975101325955166,4.9494091881136066e-05
1.5409316887797647e-05,6.2280741011859195,0.02358759426220537,6.0661438256893835e-27,5.584173465400313,2.6116708166791245,1.701093758619868e-11,8.72064499598218e-06,2.2231626916592875e-05,0.17859547849675578,0.0058925301147218,0.040792533246141606,5.141309132796846e-11,3.592918331805511,0.1817760668737063,3.777952752581709e-09,0.11937879524484886,0.025975100883051876,4.949409068113744e-05
1.540931704390666e-05,6.228074085733789,0.023587594381180278,6.066143860058102e-27,5.5841734719454115,2.611670822149565,1.7010937381692806e-11,8.720645276902572e-06,2.223162735224334e-05,0.17859548345151044,0.005892529991267837,0.04079253242531839,5.141309048281613e-11,3.592918411083245,0.18177607109280705,3.777952857271986e-09,0.11937879812411238,0.025975100450577007,4.949408946975757e-05
1.5409317197650325e-05,6.228074068607979,0.023587594508720614,6.066143890945686e-27,5.5841734781958845,2.611670828013042,1.7010937175240626e-11,8.720645556161712e-06,2.223162778113782e-05,0.17859548846573808,0.005892529867719173,0.04079253161211136,5.1413089610156104e-11,3.592918490220548,0.1817760752960866,3.777952959656582e-09,0.11937880101723254,0.025975100028530568,4.9494088246996466e-05
1.5409317349028642e-05,6.2280740498084874,0.023587594644826383,6.0661439183521374e-27,5.584173484151731,2.611670834269554,1.7010936966842145e-11,8.720645833759604e-06,2.2231628203276316e-05,0.17859549353943874,0.005892529744075807,0.040792530806520524,5.1413088709988377e-11,3.5929185692174217,0.18177607948354493,3.777953059735493e-09,0.11937880392420933,0.025975099616912554,4.949408701285413e-05
1.5409317498041612e-05,6.228074029335313,0.023587594789497575,6.066143942277456e-27,5.584173489812953,2.6116708409191025,1.7010936756497362e-11,8.720646109696247e-06,2.2231628618658827e-05,0.17859549867261235,0.005892529620337738,0.04079253000854587,5.141308778231296e-11,3.5929186480738653,0.1817760836551821,3.777953157508724e-09,0.11937880684504273,0.025975099215722962,4.9494085767330545e-05
1.5409317644689236e-05,6.228074007188459,0.0235875949427342,6.0661439627216416e-27,5.584173495179547,2.6116708479616872,1.7010936544206276e-11,8.720646383971641e-06,2.2231629027285355e-05,0.178595503865259,0.005892529496504969,0.04079252921818741,5.141308682712985e-11,3.5929187267898786,0.18177608781099802,3.777953252976271e-09,0.11937880977973278,0.0259750988249618,4.949408451042573e-05
1.540931778897151e-05,6.228073983367922,0.023587595104536254,6.066143979684694e-27,5.584173500251515,2.611670855397308,1.7010936329968888e-11,8.720646656585785e-06,2.22316294291559e-05,0.1785955091173786,0.005892529372577497,0.04079252843544513,5.1413085844439035e-11,3.5929188053654624,0.18177609195099273,3.777953346138136e-09,0.11937881272827944,0.025975098444629065,4.949408324213967e-05
1.540931793088843e-05,6.228073957873705,0.02358759527490373,6.066143993166614e-27,5.584173505028859,2.611670863225964,1.7010936113785196e-11,8.72064692753868e-06,2.2231629824270456e-05,0.1785955144289712,0.0058925292485553235,0.040792527660319045,5.1413084834240525e-11,3.5929188838006154,0.18177609607516626,3.7779534369943195e-09,0.11937881569068272,0.025975098074724756,4.949408196247238e-05
1.540931807044001e-05,6.228073930705806,0.02358759545383664,6.0661440031674e-27,5.584173509511575,2.6116708714476564,1.7010935895655203e-11,8.720647196830324e-06,2.2231630212629032e-05,0.17859551980003677,0.005892529124438448,0.04079252689280914,5.1413083796534317e-11,3.5929189620953386,0.18177610018351853,3.77795352554482e-09,0.11937881866694265,0.02597509771524887,4.9494080671423864e-05
1.5409318207626238e-05,6.228073901864225,0.023587595641334978,6.066144009687054e-27,5.584173513699666,2.611670880062385,1.7010935675578906e-11,8.720647464460721e-06,2.2231630594231625e-05,0.17859552523057537,0.005892529000226872,0.040792526132915424,5.141308273132042e-11,3.5929190402496323,0.18177610427604965,3.7779536117896374e-09,0.1193788216570592,0.02597509736620141,4.94940793689941e-05
1.5409318342447117e-05,6.228073871348964,0.023587595837398743,6.066144012725575e-27,5.584173517593131,2.611670889070149,1.701093545355631e-11,8.720647730429866e-06,2.2231630969078233e-05,0.17859553072058693,0.005892528875920593,0.0407925253806379,5.141308163859883e-11,3.5929191182634956,0.18177610835275954,3.777953695728774e-09,0.11937882466103238,0.025975097027582376,4.9494078055183096e-05
1.5409318474902646e-05,6.228073839160021,0.02358759604202794,6.066144012282962e-27,5.5841735211919685,2.61167089847095,1.7010935229587405e-11,8.720647994737761e-06,2.2231631337168855e-05,0.1785955362700715,0.005892528751519612,0.04079252463597656,5.1413080518369534e-11,3.592919196136929,0.1817761124136482,3.7779537773622265e-09,0.11937882767886217,0.02597509669939177,4.9494076729990855e-05
