Reactants,Products,dE (kcal/mol),K,k2
155 + 2260,1211 + 347,-15.6,272593581570.2548,0.004915743035037843
359 + 1508,1211 + 347,-29.7,5.908298673668253e+21,2.2679963793503376e-13
871 + 278,1211 + 15,-9.0,3957426.5314224,338.603885469573
2260 + 825,1211 + 15,-11.5,269170551.710693,4.978256319213717
155 + 985,1211 + Et2O ,-23.4,1.4232245899545426e+17,9.415239235311408e-09
347 + 347,1211 + Et2O ,-15.0,99012061232.33348,0.013533704715586794
2260,1211 + Et2O ,-8.2,1025595.6314420968,1306.5578273922804
155 + 825,102 + 159,-1.5,12.576761063970512,106545715.00438118
102 + 359,155 + 15,-24.3,6.501517334722868e+17,2.061057336328887e-09
102 + 359,159 + 0,-21.7,8074124724438430.0,1.659622616361304e-07
102 + 359,825 + 347,-28.3,5.561580383625021e+20,2.409387094260772e-12
822 + 0,102 + 1508,-2.5,68.01656318151429,19701083.637877613
257 + 155,102 + 985,-6.6,68881.52677145916,19453.69190851363
102 + 2260,2050 + 825,-4.3,1419.3753407777042,944077.2722356773
102 + 2260,257 + 871,-1.7,17.626982967538215,76019815.89633001
102 + 2260,1211 + 0,-7.4,265790.5057444123,5041.5645820267255
102 + 2260,1508 + 15,-10.1,25337474.337841533,52.886092044253566
102 + 2260,822 + 278,-5.6,12736.699171556733,105207.7922192316
257 + 825,102 + 278,-0.9,4.568159783502966,293334748.23694944
155 + 0,102 + 347,-8.2,1025595.6314420968,1306.5578273922804
825 + 0,102 + 15,-4.1,1012.716955245688,1323173.2648091314
155 + 155,871,-23.5,1.6849151142270742e+17,7.95292290208164e-09
155 + 359,159 + 347,-29.8,6.994666762291751e+21,1.9157453035846396e-13
155 + 1508,822 + 347,-5.6,12736.699171556733,105207.7922192316
155 + 985,347 + 347,-8.4,1437425.4734632077,932.2222436837166
155 + 985,2260,-15.2,138770539413.60297,0.009656228228717591
155 + 2260,2050 + 159,-5.7,15078.615905733324,88867.57301712908
155 + 2260,871 + 985,-8.3,1214173.4991785414,1103.631401036662
359 + 1508,155 + 2260,-14.2,25659689865.034607,0.0522219873680532
155 + 278,257 + 159,-0.6,2.753135104728402,486717850.38758266
359 + 0,155 + 278,-22.3,2.222915621880693e+16,6.028119046940234e-08
155 + 278,985 + 825,-5.8,17851.144521052902,75065.2149177135
155 + 278,347 + 15,-10.1,25337474.337841533,52.886092044253566
155 + 347,871 + Et2O ,-16.1,633925997284.237,0.002113811400290587
