S6,S17,S3,S1,S54,S18,S0,S60,S43,S105,S2,S19,S33,S74,S13,THF,S70,S106
18.481504247493792,0.00016045115487258203,3.1607467087641075e-07,0.00012071440158961418,3.64017426649466e-09,0.0179694057261337,9.424479080280776e-12,7.085791617078154e-09,0.0001730825772563485,3.4900034252553293e-23,8.547116767248497e-05,8.551354521631529e-13,1.559438229120997e-06,2.857703992615272e-07,6.64734957424422e-08,1004.9637797503331,2.66640141350253e-11,8.316839244656936e-09
18.48150424749357,0.00016045115487258,3.1607467087640725e-07,0.0001207144015896134,3.6401742664945956e-09,0.01796940572613346,9.42447908028072e-12,7.0857916170780225e-09,0.00017308257725634556,3.4900034252553117e-23,8.547116767248433e-05,8.551354521631441e-13,1.559438229120967e-06,2.8577039926152255e-07,6.647349574244126e-08,1004.9637797503324,2.6664014135024765e-11,8.316839244656807e-09
18.48150424749335,0.000160451154872578,3.1607467087640376e-07,0.00012071440158961261,3.6401742664945315e-09,0.017969405726133217,9.424479080280666e-12,7.085791617077893e-09,0.0001730825772563426,3.490003425255294e-23,8.547116767248371e-05,8.551354521631351e-13,1.5594382291209372e-06,2.857703992615179e-07,6.647349574244032e-08,1004.9637797503316,2.6664014135024235e-11,8.316839244656678e-09
18.481504247493135,0.00016045115487257596,3.1607467087640026e-07,0.00012071440158961181,3.6401742664944665e-09,0.017969405726132974,9.42447908028061e-12,7.085791617077761e-09,0.00017308257725633965,3.4900034252552764e-23,8.547116767248308e-05,8.551354521631263e-13,1.559438229120907e-06,2.8577039926151323e-07,6.647349574243936e-08,1004.9637797503308,2.6664014135023698e-11,8.316839244656549e-09
18.48150424749291,0.00016045115487257393,3.1607467087639666e-07,0.00012071440158961101,3.640174266494402e-09,0.017969405726132735,9.424479080280554e-12,7.0857916170776304e-09,0.0001730825772563367,3.490003425255259e-23,8.547116767248246e-05,8.551354521631174e-13,1.5594382291208772e-06,2.8577039926150857e-07,6.647349574243842e-08,1004.9637797503301,2.6664014135023165e-11,8.31683924465642e-09
18.481504247492694,0.0001604511548725719,3.1607467087639317e-07,0.00012071440158961021,3.640174266494338e-09,0.017969405726132495,9.4244790802805e-12,7.0857916170775e-09,0.00017308257725633374,3.4900034252552405e-23,8.547116767248182e-05,8.551354521631086e-13,1.5594382291208472e-06,2.8577039926150397e-07,6.647349574243748e-08,1004.9637797503293,2.6664014135022632e-11,8.316839244656291e-09
18.481504247492474,0.00016045115487256986,3.160746708763897e-07,0.00012071440158960942,3.640174266494273e-09,0.017969405726132252,9.424479080280444e-12,7.085791617077368e-09,0.00017308257725633078,3.4900034252552223e-23,8.54711676724812e-05,8.551354521630997e-13,1.5594382291208173e-06,2.857703992614993e-07,6.647349574243651e-08,1004.9637797503285,2.66640141350221e-11,8.31683924465616e-09
18.481504247492254,0.00016045115487256783,3.160746708763862e-07,0.00012071440158960864,3.640174266494209e-09,0.017969405726132013,9.42447908028039e-12,7.0857916170772375e-09,0.00017308257725632783,3.4900034252552047e-23,8.547116767248056e-05,8.551354521630909e-13,1.5594382291207872e-06,2.857703992614946e-07,6.647349574243557e-08,1004.9637797503278,2.6664014135021566e-11,8.316839244656033e-09
18.481504247492136,0.0001604511548725667,3.160746708763843e-07,0.00012071440158960818,3.6401742664941737e-09,0.017969405726131874,9.42447908028036e-12,7.085791617077166e-09,0.00017308257725632626,3.490003425255196e-23,8.547116767248018e-05,8.551354521630864e-13,1.5594382291207705e-06,2.8577039926149216e-07,6.647349574243502e-08,1004.9637797503271,2.666401413502126e-11,8.316839244655968e-09
18.48150424749215,0.00016045115487256677,3.1607467087638475e-07,0.00012071440158960818,3.6401742664941787e-09,0.017969405726131874,9.424479080280364e-12,7.085791617077172e-09,0.00017308257725632658,3.490003425255199e-23,8.547116767248014e-05,8.55135452163088e-13,1.5594382291207711e-06,2.8577039926149285e-07,6.647349574243499e-08,1004.9637797503267,2.6664014135021256e-11,8.316839244655992e-09
