S366102011,S3133022081,S311101673,S3311102026,S133011704,S66091638,S3366032367,Et2O,S33133092397,S11011295
0.24454027736605677,0.3987540838405182,4.0343260397380755e-07,8.657617373874201e-13,3.9851179418740705e-13,2.8720144609766703e-09,1.7455578327991404e-40,34.02806725996405,5.415103927519787e-16,8.356705232889428
0.2442022510148038,0.3982483049308836,4.02827828444826e-07,8.647116393232174e-13,3.978995456046231e-13,2.872630737416543e-09,1.7408202057870663e-40,34.03194826177793,5.399590696556528e-16,8.357549038764523
0.24389553523774662,0.397789275408795,4.0227918433599423e-07,8.637585289697693e-13,3.973442004341514e-13,2.873190062923256e-09,1.7365275462298047e-40,34.035470274170954,5.38553437213734e-16,8.358314784617928
0.24361716527906216,0.3973725787450647,4.017813453569056e-07,8.628932516726411e-13,3.9684035135239825e-13,2.873697816558089e-09,1.732637127718284e-40,34.03866723883617,5.372795011108356e-16,8.359009851741636
0.2433644866148904,0.396994268757095,4.0132953305216887e-07,8.621076326168239e-13,3.963831404701738e-13,2.8741588036285377e-09,1.7291101370587398e-40,34.04156950480269,5.361245606408908e-16,8.35964084084825
0.2431350894284825,0.39665077504843016,4.009193956293274e-07,8.613942830184303e-13,3.9596813391364644e-13,2.874577370499404e-09,1.7259105414665714e-40,34.04420456334268,5.350768380534414e-16,8.360213732157534
0.24292681406887096,0.39633882661330333,4.005471153093111e-07,8.607463892232347e-13,3.9559149966874243e-13,2.8749575070481047e-09,1.7230107799669878e-40,34.04659740809982,5.341272524633842e-16,8.360733956329723
0.24273768180740588,0.3960555276170493,4.0020907684445044e-07,8.601579782792724e-13,3.952495245457673e-13,2.8753027346140525e-09,1.7203788101115496e-40,34.04877043317016,5.332653767364336e-16,8.361206387931123
0.2425658834401781,0.3957982493988311,3.99901952649847e-07,8.596236401178785e-13,3.949387754658096e-13,2.8756162475060927e-09,1.7179840590356697e-40,34.05074401867405,5.32481281127395e-16,8.361635464827856
0.24240988490052925,0.3955644903019719,3.9962323824670435e-07,8.591380630342575e-13,3.9465688838327953e-13,2.875901116176656e-09,1.7158189908074401e-40,34.0525368091666,5.317722474200367e-16,8.36202522274552
0.2422681964983819,0.39535211372512735,3.9937016097497786e-07,8.586968644879934e-13,3.9440097982414507e-13,2.876159933994392e-09,1.713856504874273e-40,34.054165446422225,5.311295074431122e-16,8.362379287978099
0.24213944135778565,0.39515921117572517,3.99140080825267e-07,8.582961687826003e-13,3.9416825116181786e-13,2.8763950100226346e-09,1.7120670490655432e-40,34.05564498042165,5.305435645393118e-16,8.362700945897924
0.24202247089439752,0.3949839214925754,3.989311090940258e-07,8.579320316358532e-13,3.9395690914545617e-13,2.8766086273418025e-09,1.7104441723563408e-40,34.056989311325175,5.300121419142749e-16,8.362993206255044
0.24191620657173082,0.39482464144766355,3.9874130382829054e-07,8.576011303872806e-13,3.937649790387103e-13,2.8768027383009735e-09,1.7089720793816532e-40,34.05821076942507,5.295300682462056e-16,8.363258750815803
0.24181964644649362,0.39467991185112133,3.985688256222087e-07,8.573004572372289e-13,3.935905651933741e-13,2.876979116622493e-09,1.7076341257798527e-40,34.05932065842994,5.290919012556189e-16,8.363500040710518
0.2417318992302215,0.3945483813813773,3.984121008822455e-07,8.570271983822612e-13,3.93432089812399e-13,2.877139410650424e-09,1.7064188823129617e-40,34.060329300116464,5.286939327171013e-16,8.363719318553473
0.24165215838408657,0.3944288451772909,3.9826968437556435e-07,8.567788535515204e-13,3.932880882354747e-13,2.8772850882531322e-09,1.7053149011882732e-40,34.06124594494855,5.283324213913795e-16,8.363918595745812
0.24157967861389798,0.3943201881035541,3.9814024232738366e-07,8.565531060969111e-13,3.9315720979678877e-13,2.8774175082701247e-09,1.7043118316814639e-40,34.06207914978335,5.280039381176686e-16,8.364099732718202
0.24151381246127748,0.3942214407769738,3.9802261714765217e-07,8.563479434546113e-13,3.930382832234897e-13,2.8775378519078397e-09,1.7034005919391157e-40,34.062836351377356,5.277055266769194e-16,8.364264346314233
0.2414539341719829,0.39413166683160555,3.979156893989232e-07,8.561614217006419e-13,3.929301753566054e-13,2.8776472600968576e-09,1.7025724149877201e-40,34.06352473458504,5.27434317838585e-16,8.364413998655568
0.24139952381585333,0.39405008747358256,3.9781852979639034e-07,8.559919232707688e-13,3.928319460825118e-13,2.8777466818748566e-09,1.7018200632405573e-40,34.064150273103174,5.271879421277214e-16,8.364549988467923
